,label,
"The dataset of the SemEval task ( consists of short texts in Chinese containing target adjectives whose sentiments need to be disambiguated in the given contexts. Those adjectives are: big, small, many, few, high, low, thick, thin, deep, shallow, heavy, light, huge, grave. Disambiguating sentiment ambiguous adjectives is a challenging task for NLP. Previous studies were mostly focused on word sense disambiguation rather than sentiment disambiguation. Although both problems look similar, the latter is more challenging in our opinion because impregnated with more subjectivity. In order to solve the task, one has to deal not only with the semantics of the context, but also with the psychological aspects of human perception of emotions from the written text.In our approach, we use Twitter 1 microblogging platform to retrieve emotional messages and form two sets of texts: messages with positive emotions and those with negative ones (Pak and Paroubek, 1 http://twitter.com 2010). We use emoticons 2 as indicators of an emotion) to automatically classify texts into positive or negative sets. The reason we use Twitter is because it allows us to collect the data with minimal supervision efforts. It provides an API 3 which makes the data retrieval process much more easier then Web based search or other resources.After the dataset of emotional texts has been obtained, we build a classifier based on n-grams Na¨ıveNa¨ıve Bayes approach. We tested two approaches to build a sentiment classifier:1. In the first one, we collected Chinese texts from Twitter and used them to train a classifier to annotate the test dataset.2. In the second one, we used machine translator to translate the dataset from Chinese to English and annotated it using collected English texts from Twitter as the training data.We have made the second approach because we were able to collect much more of English texts from Twitter than Chinese ones and we wanted to test the impact of machine translation on the performance of our classifier. We have experimented with Google Translate and Yahoo Babelfish . Google Translate yielded better results.",,
Conclusion:,,
"In this paper, we have described our system for disambiguating sentiments of adjectives in Chinese texts. Our Na¨ıveNa¨ıve Bayes approach uses information automatically extracted from Twitter microblogs using emoticons. The techniques used in our approach can be applied to any other language. Our system is fully automate and does not utilize any hand-built lexicon. We were able to achieve up to 64% of macro and 61% of micro accuracy at the SemEval 2010 taskFor the future work, we would like to collect more Chinese texts from Twitter or similar microblogging platforms. We think that increasing the training dataset will improve much the accuracy of the sentiment disambiguation.",,
,,
Title 1: Automatic Disambiguation of Chinese Sentiment Ambiguous Adjectives Using Twitter,1,2 is non-grammatical and hallucinates (NUS-CORE?)
Title 2: NUS-CORE: Using Twitter to Disambiguate Adjective Sentiment Ambiguous Adjectives,,
,,
,,
ID: 747,,
Abstract:,,
"We describe our submission to WMT 2019 News translation shared task for Gujarati-English language pair. We submit constrained systems, i.e, we rely on the data provided for this language pair and do not use any external data. We train Transformer based subword-level neural machine translation (NMT) system using original parallel corpus along with synthetic parallel corpus obtained through back-translation of monolin-gual data. Our primary systems achieve BLEU scores of 10.4 and 8.1 for Gujarati→English and English→Gujarati, respectively. We observe that incorporating monolingual data through back-translation improves the BLEU score significantly over baseline NMT and SMT systems for this language pair.",,
Introduction:,,
"In this paper, we describe the system that we submit to the WMT 2019 1 news translation shared task.We participate in Gujarati-English language pair and submit two systems: English→Gujarati and Gujarati→English. Gujarati language belongs to Indo-Aryan language family and is spoken predominantly in the Indian state of Gujarat. It is a low-resource language as only a few thousands parallel sentences are available, which are not enough to train a neural machine translation (NMT) system as well statistical machine translation (SMT) system. Gujarati-English is a distant language pair and they have different linguistic properties including syntax, morphology, word order etc. English follows subject-verb-object order while Gujarati follows subject-object-verb order. http://www.statmt.org/wmt19/ translation-task.html NMT ( has recently become dominant paradigm for machine translation (MT) achieving state-ofthe-art on standard benchmark data sets for many language pairs. As opposed to SMT, NMT systems are trained in an end-to-end manner. Training an effective NMT requires a huge amount of high-quality parallel corpus and in absence of that, an NMT system tends to perform poorly (. However, back-translation () has been shown to improve NMT systems in such a situation. In this work, we train a SMT system and an NMT system for both English→Gujarati and Gujarati→English using the original training data. SMT systems are also used to generate synthetic parallel corpora through back-translation of monolingual data from English news crawl and Gujarati Wikipedia dumps. These corpora along with the original training corpora are used to improve the baseline NMT systems. All the SMT and NMT systems are trained at subword level.Our SMT systems are standard phrase-based SMT systems (, and NMT systems are based on Transformer ( architecture. Experiments show that NMT systems achieve BLEU () scores of 10.4 and 8.1 for Gujarati→English and English→Gujarati, respectively, outperforming the baseline SMT systems even in the absence of enough-sized parallel data.Rest of the paper is arranged in following manner: Section 2 gives brief introduction of the Transformer architecture that we used for NMT training, Section 3 describes the task, Section 4 describes the submitted systems, Section 5 gives various evaluation scores for English-Gujarati translation pair, and finally, Section 6 concludes the work.",,
Conclusion:,,
"In this paper, we described our submission to the WMT 2019 News translation shared task for Gujarati-English language pair. This is the first time Gujarati language is introduced in a WMT shared task. We submit Transformer based NMT systems for English-Gujarati language pair. Since the number of parallel sentences in training set are very less and many sentences have length of only 2-3 tokens, BLEU scores for English",,
,,
Title 1: Subword-level Neural Machine Translation for Gujarati-English Language Pair,1,I think subword is a good keyword
Title 2: English-Gujarati Machine Translation System for WMT19 News Translation Task,,
,,
,,
ID: 777,,
Abstract:,,
"This paper describes a lexicon organized around systematic polysemy: a set of word senses that are related in systematic and predictable ways. The lexicon is derived by a fully automatic extraction method which utilizes a clustering technique called tree-cut. We compare our lexicon to WordNet cousins, and the inter-annotator disagreement observed between WordNet Semcor and DSO corpora.",,
Introduction:,,
"In recent years, the granularity of word senses for computational lexicons has been discussed frequently in Lexical Semantics (for example,). This issue emerged as a prominent problem after previous studies and exercises in Word Sense Disambiguation (WSD) reported that, when ne-grained sense deenitions such as those in WordNet were used, entries became very similar and indistinguishable to human annotators, thereby causing disagreement on correct tags). In addition to WSD, the selection of sense inventories is fundamentally critical in other Natural Language Processing (NLP) tasks such as Information Extraction (IE) and Machine Translation (MT), as well as in Information Retrieval (IR), since the diierence in the correct sense assignments aaects recall, precision and other evaluation measures.In response to this, several approaches have been proposed which group 񮽙ne-grained word senses in various ways to derive coarse-grained sense groups. Some approaches utilize an abstraction hierarchy d ened in a dictionary, while others utilize surface syntactic patterns of the functional structures (such as predicate-argument structure for verbs) of words. Also, the current version of WordNet (1.6) encodes groupings of similar/related word senses (or synsets) by a relation called cousin.Another approach to grouping word senses is to utilize a linguistic phenomenon called systematic polysemy: a set of word senses that are related in systematic and predictable ways. For example, ANIMAL and MEAT meanings of the word \chicken"" are related because chicken as meat refers to the esh of ac hicken as a bird that is used for food. This relation is systematic, since many ANIMAL words such a s \duck"" and \lamb"" have a MEAT meaning. Another example is the relation QUANTITY-PROCESS observed in nouns such as \increase"" and \supply"".Sense grouping based on systematic polysemy is lexico-semantically motivated in that it expresses general human knowledge about the relatedness of word meanings. Such sense groupings have advantages compared to other approaches. First, related senses of a word often exist simultaneously in a discourse (for example the QUANTITY and PROCESS meanings of \increase"" above). Thus, systematic polysemy can be eeectively used in WSD (and WSD evaluation) to accept multiple or alternative sense tags. Second, many systematic relations are observed between senses which belong to diierent semantic categories. So if a lexicon is deened by a collection of separate trees/hierarchies (such as the case of WordNet), systematic polysemy can express similarity between senses that are not hierarchically proximate. Third, by explicitly representing (inter-)relations between senses, a lexicon based on systematic polysemy can facilitate semantic inferences. Thus it is useful in knowledge-intensive NLP tasks such as discourse analysis, IE and MT. More recently, () also discusses potential usefulness of systematic polysemy for clustering word senses for IR.However, extracting systematic relations from large sense inventories is a diicult task. Most often, this procedure is done manually. For example, WordNet cousin relations were identiied manually by t he W ordNet lexicographers. A similar eeort was also made in the EuroWordnet project (Vossen et 1 Systematic polysemy (in the sense we use in this paper) is also referred to as regular polysemy or logical polysemy (Pustejovsky, 1 9 9 5 ) .al., 1999). The problem is not only that manual inspection of a large, complex lexicon is very timeconsuming, it is also prone to inconsistencies.In this paper, we describes a lexicon organized around systematic polysemy. The lexicon is derived by a fully automatic extraction method which utilizes a clustering technique called tree-cut (). In our previous work), we applied this method to a small subset of WordNet nouns and showed potential applicability. In the current work, we applied the method to all nouns and verbs in WordNet, and built a lexicon in which word senses are partitioned by systematic polysemy. We report results of comparing our lexicon with the WordNet cousins as well as the inter-annotator disagreement observed between two semantically annotated corpora: WordNet Semcor ( and. The results are quite promising: our extraction method discovered 89% of the WordNet cousins, and the sense partitions in our lexicon yielded better 񮽙 values) than arbitrary sense groupings on the agreement data.",,
Conclusion:,,
"As we reported in previous sections, our tree-cut extraction method discovered 89% of the WordNet cousins. Although the precision was relatively low (50-60%), this is an encouraging result. As for the lexicon, our sense partitions consistently yielded better 񮽙 values than arbitrary sense groupings. We consider these results to be quite promising. Our data is available at www.depaul.edu/񮽙ntomuro/research/naacl-01.html.It is signiicant to note that cluster pairs and sense partitions derived in this work are domain independent. Such information is useful in broad-domain applications, or as a background lexicon) in domain speciic applications or text categorization and IR tasks. For those tasks, we an ticipate that our extraction methods maybe useful in deriving characteristics of the domains or given corpus, as well as customizing the lexical resource. This is our next future research.For other future work, we plan to investigate an automatic way of detecting and 񮽙ltering unrelated relations. We are also planning to compare our sense partitions with the systematic disagreement obtained by)'s automatic classiier.",,
,,
Title 1: A Systematic Polysemy Lexicon Based on Tree-Cut Extraction,1,"""extraction"" is good and only available in the conclusion"
Title 2: A systematic polysemy lexicon based on tree-cut,,
,,
,,
ID: 645,,
Abstract:,,
"This paper presents empirical studies and closely corresponding theoretical models of the performance of a chart parser exhaustively parsing the Penn Treebank with the Treebank's own CFG grammar. We show how performance is dramatically affected by rule representation and tree transformations, but little by top-down vs. bottom-up strategies. We discuss grammatical saturation, including analysis of the strongly connected components of the phrasal nonterminals in the Treebank, and model how, as sentence length increases, the effective grammar rule size increases as regions of the grammar are unlocked, yielding super-cubic observed time behavior in some configurations.",,
Introduction:,,
"This paper originated from examining the empirical performance of an exhaustive active chart parser using an untransformed treebank grammar over the Penn Treebank. Our initial experiments yielded the surprising result that for many configurations empirical parsing speed was super-cubic in the sentence length. This led us to look more closely at the structure of the treebank grammar. The resulting analysis builds on the presentation of Charniak (1996), but extends it by elucidating the structure of non-terminal interrelationships in the Penn Treebank grammar. On the basis of these studies, we build simple theoretical models which closely predict observed parser performance, and, in particular, explain the originally observed super-cubic behavior.We used treebank grammars induced directly from the local trees of the entire WSJ section of the Penn Treebank () (release 3). For each length and parameter setting, 25 sentences evenly distributed through the treebank were parsed. Since we were parsing sentences from among those from which our grammar was derived, coverage was never an issue. Every sentence parsed had at least one parse -the parse with which it was originally observed. The sentences were parsed using an implementation of the probabilistic chart-parsing algorithm presented in. In that paper, we present a theoretical analysis showing anThe default settings are shown above in boldface.We do not discuss all possible combinations of these settings. Rather, we take the bottom-up parser using an untransformed grammar with trie rule encodings to be the basic form of the parser. Except where noted, we will discuss how each factor affects this baseline, as most of the effects are orthogonal. When we name a setting, any omitted parameters are assumed to be the defaults.",,
Conclusion:,,
"We built simple but accurate models on the basis of two observations. First, passive saturation is relatively constant in span size, but large due to high reachability among phrasal categories in the grammar. Second, active saturation grows with span size because, as spans increase, the tags in a given active edge are more likely to find a matching arrangement over a span. Combining these models, we demonstrated that a wide range of empirical qualitative and quantitative behaviors of an exhaustive parser could be derived, including the potential super-cubic traversal growth over sentence lengths of interest.",,
,,
Title 1: Parsing the Penn Treebank with an Untransformed Chart Parser,2,"both titles are not good, but the 1 is too unspecific for this paper"
Title 2: Grammatical saturation in chart parsing: empirical studies and theoretical models,,
,,
,,
ID: 1022,,
Abstract:,,
"Domain adaptation is an important research topic in sentiment analysis area. Existing domain adaptation methods usually transfer sentiment knowledge from only one source domain to target domain. In this paper, we propose anew domain adaptation approach which can exploit sentiment knowledge from multiple source domains. We first extract both global and domain-specific sentiment knowledge from the data of multiple source domains using multi-task learning. Then we transfer them to target domain with the help of words' sentiment polarity relations extracted from the un-labeled target domain data. The similarities between target domain and different source domains are also incorporated into the adaptation process. Experimental results on benchmark dataset show the effectiveness of our approach in improving cross-domain sentiment classification performance .",,
Introduction:,,
"Sentiment classification is a hot research topic in natural language processing field, and has many applications in both academic and industrial areas (. Sentiment classification is widely known as a domain-dependent task). The sentiment classifier trained in one domain may not perform well in another domain. This is because sentiment expressions used in different domains are usually different. For example, ""boring"" * Corresponding author. and ""lengthy"" are frequently used to express negative sentiments in Book domain. However, they rarely appear in Electronics domain). Thus a sentiment classifier trained in Electronics domain cannot accurately predict their sentiments in Book domain. In addition, the same word may convey different sentiments in different domains. For example, in Electronics domain ""easy"" is usually used in positive reviews, e.g., ""this digital camera is easy to use."" However, it is frequently used as a negative word in Movie domain. For instance, ""the ending of this movie is easy to guess."" Thus, the sentiment classifier trained in one domain usually cannot be applied to another domain directly.In order to tackle this problem, sentiment domain adaptation has been widely studied. For example, proposed to compute the correspondence among features from different domains using their associations with pivot features based on structural correspondence learning (SCL). proposed a spectral feature alignment (SFA) algorithm to align the domain-specific words from different domains in order to reduce the gap between source and target domains. However, all of these methods transfer sentiment information from only one source domain. When the source and target domains have significant difference in feature distributions, the adaptation performance will heavily decline. In some cases, the performance of sentiment domain adaptation is even worse than that without adaptation, which is usually known as negative transfer .In this paper we propose anew domain adaptation approach for cross-domain sentiment classification. Our approach can exploit the sentiment information in multiple source domains to reduce the risk of negative transfer effectively. Our approach consists of two steps, i.e., training and adaptation. At the training stage, we extract two kinds of sentiment models, i.e., the global model and the domain-specific models, from the data of multiple source domains using multi-task learning. The global sentiment model can capture the common sentiment knowledge shared by various domains, and has better generalization performance than the sentiment model trained in a single source domain. The domain-specific sentiment model can capture the specific sentiment knowledge in each source domain. At the adaptation stage, we transfer both kinds of sentiment knowledge to target domain with the help of the words' sentiment graph of target domain. The sentiment graph contains words' domain-specific sentiment polarity relations extracted from the syntactic parsing results of the unlabeled data in target domain. Since sentiment transfer between similar domains is more effective than dissimilar domains, we incorporate the similarities between target domain and different source domains into the adaptation process. In order to estimate the similarity between two domains, we propose a novel domain similarity measure based on their sentiment graphs. Extensive experiments were conducted on the benchmark Amazon product review dataset. The experimental results show that our approach can improve the performance of cross-domain sentiment classification effectively.",,
Conclusion:,,
"This paper presents a sentiment domain adaptation approach which transfers the sentiment knowledge from multiple source domains to target domain. Our approach consists of two steps. First, we extract both global and domain-specific sentiment knowledge from the data of multiple source domains. Second, we transfer these two kinds of sentiment knowledge to target domain with the help of the words' sentiment graph. We proposed to build words' sentiment graph for target domain by extracting their sentiment polarity relations from massive unlabeled data. Besides, we proposed a novel domain similarity measure based on sentiment graphs, and incorporated the domain similarities between target and different source domains into the domain adaptation process. The experimental results on a benchmark dataset show that our approach can effectively improve the performance of cross-domain sentiment classification.",,
,,
Title 1: Sentiment Domain Adaptation for Cross-Domain Sentiment Classification,2,"""multi-task"" looks like a good keyword"
Title 2: Multi-Task Domain Adaptation for Cross-Domain Sentiment Classification,,
,,
,,
ID: 1697,,
Abstract:,,
"Certain distinctions made in the lexicon of one language maybe redundant when translating into another language. We quantify redundancy among source types by the similarity of their distributions over target types. We propose a language-independent framework for minimising lexical redundancy that can be optimised directly from parallel text. Optimisation of the source lexicon fora given target language is viewed as model selection over a set of cluster-based translation models. Redundant distinctions between types may exhibit monolingual regularities, for example , inflexion patterns. We define a prior over model structure using a Markov random field and learn features over sets of monolingual types that are predictive of bilingual redundancy. The prior makes model selection more robust without the need for language-specific assumptions regarding redundancy. Using these models in a phrase-based SMT system, we show significant improvements in translation quality for certain language pairs.",,
Introduction:,,
"Data-driven machine translation (MT) relies on models that can be efficiently estimated from parallel text. Token-level independence assumptions based on word-alignments can be used to decompose parallel corpora into manageable units for parameter estimation. However, if training data is scarce or language pairs encode significantly different information in the lexicon, such as Czech and English, additional independence assumptions may assist the model estimation process.Standard statistical translation models use separate parameters for each pair of source and target types. In these models, distinctions in either lexicon that are redundant to the translation process will result in unwarranted model complexity and make parameter estimation from limited parallel data more difficult. A natural way to eliminate such lexical redundancy is to group types into homogeneous clusters that do not differ significantly in their distributions over types in the other language. Cluster-based translation models capture the corresponding independence assumptions.Previous work on bilingual clustering has focused on coarse partitions of the lexicon that resemble automatically induced part-of-speech classes. These were used to model generic word-alignment patterns such as noun-adjective re-ordering between. In contrast, we induce fine-grained partitions of the lexicon, conceptually closer to automatic lemmatisation, optimised specifically to assign translation probabilities. Unlike lemmatisation or stemming, our method specifically quantifies lexical redundancy in a bilingual setting and does not make language-specific assumptions.We tackle the problem of redundancy in the translation lexicon via Bayesian model selection over a set of cluster-based translation models. We search for the model, defined by a clustering of the source lexicon, that maximises the marginal likelihood of target tokens in parallel data. In this optimisation, source types are combined into clusters if their distributions over target types are too similar to warrant distinct parameters.Redundant distinctions between types may exhibit regularities within a language, for instance, inflexion patterns. These can be used to guide model selection. Here we show that the inclusion of a model 'prior' over the lexicon structure leads to more robust translation models. Although a priori we do not know which monolingual features characterise redundancy fora given language pair, by defining a model over the prior monolingual space of source types and cluster assignments, we can introduce an inductive bias that allows clustering decisions in different parts of the lexicon to influence one another via monolingual features. We use an EM-type algorithm to learn weights fora Markov random field parameterisation of this prior over lexicon structure.We obtain significant improvements in translation quality as measured by BLEU, incorporating these optimised model within a phrase-based SMT system for three different language pairs. The MRF prior improves the results and picks up features that appear to agree with linguistic intuitions of redundancy for the language pairs considered.",,
Conclusion:,,
"We proposed a framework for modelling lexical redundancy in machine translation and tackled optimisation of the lexicon via Bayesian model selection over a set of cluster-based translation models. We showed improvements in translation quality incorporating these models within a phrasebased SMT sytem. Additional gains resulted from the inclusion of an MRF prior over model structure. We demonstrated that this prior could be used to learn weights for monolingual features that characterise bilingual redundancy. Preliminary experiments defining MRF features over morphological annotation suggest this model can also identify redundant distinctions categorised linguistically (for instance, that morphological case is redundant on Czech nouns and adjectives with respect to English, while number is redundant only on adjectives). In future work we will investigate the use of linguistic resources to define feature sets for the MRF prior. Lexical redundancy would ideally be addressed in the context of phrases, however, computation and statistical estimation may then be significantly more challenging.",,
,,
Title 1: Modelling Lexical Redundancy in Statistical Machine Translation,2,"both minimising and modelling are rare in the abstract, intro and conclusion. I give priority to the abstract, then"
Title 2: Minimising Lexical Redundancy in Statistical Machine Translation,,
,,
,,
ID: 1817,,
Abstract:,,
"We consider anew subproblem of unsuper-vised parsing from raw text, unsupervised partial parsing-the unsupervised version of text chunking. We show that addressing this task directly, using probabilistic finite-state methods , produces better results than relying on the local predictions of a current best unsu-pervised parser, Seginer's (2007) CCL. These finite-state models are combined in a cascade to produce more general (full-sentence) constituent structures; doing so outperforms CCL by a wide margin in unlabeled PARSEVAL scores for English, German and Chinese. Finally , we address the use of phrasal punctuation as a heuristic indicator of phrasal boundaries , both in our system and in CCL.",,
Introduction:,,
"Unsupervised grammar induction has been an active area of research in computational linguistics for over twenty years (. Recent work) has largely built on the dependency model with valence of, and is characterized by its reliance on gold-standard part-of-speech (POS) annotations: the models are trained on and evaluated using sequences of POS tags rather than raw tokens. This is also true for models which are not successors of).An exception which learns from raw text and makes no use of POS tags is the common cover links parser. CCL established stateof-the-art results for unsupervised constituency parsing from raw text, and it is also incremental and extremely fast for both learning and parsing. Unfortunately, CCL is a non-probabilistic algorithm based on a complex set of inter-relating heuristics and a non-standard (though interesting) representation of constituent trees. This makes it hard to extend. Note that although improve on Seginer's results, they do so by selecting training sets to best match the particular test sentences-CCL itself is used without modification. explore an alternative strategy of unsupervised partial parsing: directly predicting low-level constituents based solely on word co-occurrence frequencies. Essentially, this means segmenting raw text into multiword constituents. In that paper, we show-somewhat surprisingly-that CCL's performance is mostly dependent on its effectiveness at identifying low-level constituents. In fact, simply extracting non-hierarchical multiword constituents from CCL's output and putting a rightbranching structure over them actually works better than CCL's own higher level predictions. This result suggests that improvements to low-level constituent prediction will ultimately lead to further gains in overall constituent parsing.Here, we present such an improvement by using probabilistic finite-state models for phrasal segmentation from raw text. The task for these models is chunking, so we evaluate performance on identification of multiword chunks of all constituent types as well as only noun phrases. Our unsupervised chunkers extend straightforwardly to a cascade that predicts higher levels of constituent structure, similar to the supervised approach of. This forms an overall unsupervised parsing system that outperforms CCL by a wide margin.Mrs.",,
Conclusion:,,
"In this paper we have introduced anew subproblem of unsupervised parsing: unsupervised partial parsing, or unsupervised chunking. We have proposed a model for unsupervised chunking from raw text that is based on standard probabilistic finitestate methods. This model produces better local constituent predictions than the current best unsupervised parser, CCL, across datasets in English, German, and Chinese. By extending these probabilistic finite-state methods in a cascade, we obtain a general unsupervised parsing model. This model outperforms CCL in PARSEVAL evaluation on English, German, and Chinese.Like CCL, our models operate from raw (albeit segmented) text, and like it our models decode very quickly; however, unlike CCL, our models are based on standard and well-understood computational linguistics technologies (hidden Markov models and related formalisms), and may benefit from new research into these core technologies. For instance, our models maybe improved by the application of (unsupervised) discriminative learning techniques with features; or by incorporating topic models and document information (. UPPARSE, the software used for the experiments in this paper, is available under an open-source license to facilitate replication and extensions.",,
,,
Title 1: Unsupervised Partial Parsing with Probabilistic Finite State Models,1,"""partial parsing with p"" - a nice alliteration"
Title 2: Probabilistic Finite-State Models for Unsupervised Chunking,,
,,
,,
ID: 342,,
Abstract:,,
"We present a simple log-linear reparame-terization of IBM Model 2 that overcomes problems arising from Model 1's strong assumptions and Model 2's overparame-terization. Efficient inference, likelihood evaluation, and parameter estimation algorithms are provided. Training the model is consistently ten times faster than Model 4. On three large-scale translation tasks, systems built using our alignment model outperform IBM Model 4. An open-source implementation of the alignment model described in this paper is available from http://github.com/clab/fast align .",,
Introduction:,,
"Word alignment is a fundamental problem in statistical machine translation. While the search for more sophisticated models that provide more nuanced explanations of parallel corpora is a key research activity, simple and effective models that scale well are also important. These play a crucial role in many scenarios such as parallel data mining and rapid large scale experimentation, and as subcomponents of other models or training and inference algorithms. For these reasons, IBM Models 1 and 2, which support exact inference in time Θ(|f| · |e|), continue to be widely used.This paper argues that both of these models are suboptimal, even in the space of models that permit such computationally cheap inference. Model 1 assumes all alignment structures are uniformly likely (a problematic assumption, particularly for frequent word types), and Model 2 is vastly overparameterized, making it prone to degenerate behavior on account of overfitting. We present a simple log-linear reparameterization of Model 2 that avoids both problems ( §2). While inference in log-linear models is generally computationally more expensive than in their multinomial counterparts, we show how the quantities needed for alignment inference, likelihood evaluation, and parameter estimation using EM and related methods can be computed using two simple algebraic identities ( §3), thereby defusing this objection. We provide results showing our model is an order of magnitude faster to train than Model 4, that it requires no staged initialization, and that it produces alignments that lead to significantly better translation quality on downstream translation tasks ( §4).",,
Conclusion:,,
"We have presented a fast and effective reparameterization of IBM Model 2 that is a compelling replacement for for the standard Model 4. Although the alignment quality results measured in terms of AER are mixed, the alignments were shown to work exceptionally well in downstream translation systems on a variety of language pairs.",,
,,
Title 1: Fast Alignment in IBM Models: Fast Alignment for Statistical Machine Translation,2,"the repetition in ""1"" is undesirable"
Title 2: Fast Alignment for Statistical Machine Translation,,
,,
,,
ID: 1843,,
Abstract:,,
"One of the challenges of building natural language processing (NLP) applications for education is finding a large domain-specific corpus for the subject of interest (e.g., history or science). To address this challenge, we propose a tool, Dexter, that extracts a subject-specific corpus from a heterogeneous corpus, such as Wikipedia, by relying on a small seed corpus and distributed document representations. We empirically show the impact of the generated corpus on language modeling, estimating word embeddings, and consequently, distractor generation, resulting in a better performance than while using a general domain corpus, a heuristically constructed domain-specific corpus, and a corpus generated by a popular system: BootCaT.",,
Introduction:,,
"Educational applications tend to target a specific subject, in other words, a specific domain, such as the medical domain in the case of). Thus, building these applications with underlying NLP algorithms, would typically require a large domain-specific corpus. Example uses of these large corpora are estimating language models), estimating word embeddings (, and estimating document embeddings (). These estimations are central to several downstream applications including automatic speech recognition, machine translation (, and text categorization (.Previous findings, such as, have shown that training NLP applications on a domain different from the target domain could prove detrimental to the performance of these applications. In order to help educational applications in specific disciplines such as science and history create a large, yet domain-specific corpus, we propose a domain extraction tool, Dexter , that extracts a domain-specific corpus from Wikipedia.The algorithm, elaborated in Section 2, retrieves a set of documents from Wikipedia that are closest indiscipline to a user-supplied small seed corpus. The size of this extracted set is a user-defined hyperparameter, and thus controls the trade-off between the specificity of the output corpus and its size. We empirically determine the favorable configuration of Dexter, demonstrate its benefits towards estimating word embeddings, and consequently distractor generation, as well as language models. We also show how, on the aformentioned tasks, Dexter outperforms BootCaT, a popular toolkit to automatically create an Internet-derived corpus (). Datasets used in this research are released for public use 2 .",,
Conclusion:,,
"Relying on off-the-shelf resources reduces the quality of educational NLP applications. To address this challenge, we offer to the community an aiding tool, Dexter, to extract a domainspecific corpus from Wikipedia. We show that our simple method outperforms in-domain corpora constructed heuristically using Wikipedia's taxonomy, or those constructed using popular systems scraping the World Wide Web.",,
,,
Title 1: Dexter: Extracting domain-specific corpus for education,1,"While ""1"" is not good, it is better than 2 because it includes the crucial keyword ""Education"""
Title 2: Extracting a Domain-Specific Corpus from Wikipedia,,
